time,temperature_2m,relative_humidity_2m,precipitation,surface_pressure
2022-01-31,20.261021505376345,87.87768817204301,0.3959677419354839,908.988306451613
2022-02-28,20.002232142857142,87.72172619047619,0.27574404761904764,909.3574404761904
2022-03-31,20.70241935483871,81.2513440860215,0.16518817204301076,910.3067204301075
2022-04-30,19.052222222222223,80.36805555555556,0.07583333333333334,911.0541666666667
2022-05-31,15.173521505376344,76.34408602150538,0.028225806451612902,912.5950268817204
2022-06-30,15.963888888888889,71.3861111111111,0.027083333333333334,912.8775
2022-07-31,17.056048387096777,59.086021505376344,0.0,914.3021505376345
2022-08-31,17.42849462365591,57.41263440860215,0.014650537634408602,914.0108870967741
2022-09-30,19.48111111111111,60.291666666666664,0.10666666666666666,912.1873611111112
2022-10-31,21.061424731182797,68.38037634408602,0.14233870967741935,910.7545698924731
2022-11-30,19.58722222222222,73.86111111111111,0.14666666666666667,910.5170833333334
2022-12-31,21.0380376344086,81.23790322580645,0.3168010752688172,910.3969086021506
2023-01-31,21.41008064516129,83.88978494623656,0.44435483870967746,911.6038978494624
2023-02-28,22.30327380952381,83.16369047619048,0.1744047619047619,912.5950892857143
2023-03-31,22.203494623655917,78.06182795698925,0.16370967741935483,913.5178763440861
2023-04-30,19.954444444444444,78.40277777777777,0.08875,912.5877777777777
2023-05-31,17.383736559139784,73.9260752688172,0.0271505376344086,914.7588709677419
2023-06-30,15.771527777777777,75.3625,0.0022222222222222222,916.3358333333334
2023-07-31,16.787365591397847,70.95967741935483,0.016397849462365593,916.4940860215054
2023-08-31,19.204973118279568,67.46236559139786,0.04973118279569892,914.5393817204301
2023-09-30,23.24138888888889,60.388888888888886,0.011805555555555555,914.0747222222222
2023-10-31,23.171505376344083,75.84005376344086,0.17258064516129032,912.0884408602151
2023-11-30,24.155555555555555,68.41805555555555,0.11041666666666666,911.6083333333333
2023-12-31,23.81760752688172,73.75940860215054,0.1639784946236559,911.6918010752687
